 INFO  Accepting connections at http://localhost:8080
 HTTP  8/18/2025 8:09:34 AM ::1 GET /
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 17 ms
 HTTP  8/18/2025 8:09:34 AM ::1 GET /main.css
 HTTP  8/18/2025 8:09:34 AM ::1 GET /main.js
 HTTP  8/18/2025 8:09:34 AM ::1 GET /images/Empyrean_HandSolo.png
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:34 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 404 in 1 ms
 HTTP  8/18/2025 8:09:34 AM ::1 GET /images/Empyrean-AI.png
 HTTP  8/18/2025 8:09:34 AM ::1 GET /ws-client.js
 HTTP  8/18/2025 8:09:34 AM ::1 GET /audio-player.js
 HTTP  8/18/2025 8:09:34 AM ::1 GET /ui.js
 HTTP  8/18/2025 8:09:34 AM ::1 GET /state.js
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 16 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 14 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 13 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 12 ms
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 9 ms
 HTTP  8/18/2025 8:09:34 AM ::1 GET /speech.js
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:09:34 AM ::1 GET /images/favicon-32x32.png
 HTTP  8/18/2025 8:09:34 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 6 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /main.css
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /main.js
 HTTP  8/18/2025 8:09:50 AM ::1 GET /images/Empyrean_HandSolo.png
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 2 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 14 ms
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 404 in 2 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /ws-client.js
 HTTP  8/18/2025 8:09:50 AM ::1 GET /audio-player.js
 HTTP  8/18/2025 8:09:50 AM ::1 GET /ui.js
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /state.js
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 0 ms
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /speech.js
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 0 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /images/Empyrean-AI.png
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:09:50 AM ::1 GET /images/favicon-32x32.png
 HTTP  8/18/2025 8:09:50 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 3 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /main.css
 HTTP  8/18/2025 8:10:15 AM ::1 GET /main.js
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 5 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /images/Empyrean_HandSolo.png
 HTTP  8/18/2025 8:10:15 AM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 7 ms
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 3 ms
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 404 in 3 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /ws-client.js
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /audio-player.js
 HTTP  8/18/2025 8:10:15 AM ::1 GET /ui.js
 HTTP  8/18/2025 8:10:15 AM ::1 GET /state.js
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 4 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /speech.js
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /images/Empyrean-AI.png
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 0 ms
 HTTP  8/18/2025 8:10:15 AM ::1 GET /images/favicon-32x32.png
 HTTP  8/18/2025 8:10:15 AM ::1 Returned 200 in 1 ms
 HTTP  8/18/2025 8:10:24 AM ::1 GET /apple-touch-icon.png
 HTTP  8/18/2025 8:10:24 AM ::1 Returned 404 in 1 ms
